text,pos
Good Forbes article on Tesla/SolarCity merger https://t.co/guNh5q2zrl,1
Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,1
"@ccyuan2013 @TeslaMotors @tsrandall yes. Also, only worked if you logged on to a malicious hotspot &amp; used browser. No customers were hacked.",1
@tylerthecreator thanks for ordering a car!,1
"Tesla is sometimes criticized for government support, but all US car companies (plus some non) got loans and only T… https://t.co/dNtUCv3Fp5",0
@thefrownyface @massossltd I read a story about a father whose son died incredibly quickly. Can be as little as half an hour in hot sun.,0
"@ninjas ""smart"" preconditioning should be less dumb in 8.0",0
"@notch also, the Tesla is poison free!",1
@Scott_Helme can't always detect babies and pets,1
My favorite new feature is the always-on max temp control for keeping kids and pets safe from overheating.,1
"@PassionPlanet1 Yeah, definitely one of my favorite names",1
@JonasPolsky @schellgames that's a great one,1
@andyzalk sounds like the right name for the rocket booster,1
@LarryMasters778 That is my favorite fictional spaceship. Powered by improbability!,1
We'll start a cadence of sending Dragons to Mars in two years. Will be like a train leaving the station https://t.co/Jpjwn3hWax,1
Thanks to @NASA for putting their faith in us https://t.co/kCtBLPbSg8,1
"Goal is 100 people on each trip, eventually more https://t.co/kCtBLPbSg8 https://t.co/wbXJ6AeWyl",1
Interplanetary Spaceship arriving at Mars https://t.co/kCtBLOUhoA https://t.co/kW74GqE9gT,1
Tanker refueling Mars vehicle in Earth orbit https://t.co/kCtBLPbSg8 https://t.co/nGSPIWYhnK,1
Future Mars mission departing from historic Pad 39A at Kennedy Space Center https://t.co/kCtBLPbSg8 https://t.co/Zvk4BNybee,1
Reusability is key to building a city on Mars. Build a propellant farm on Mars and send the ships back,1
"""We aim to improve the cost per ton to Mars by 5 million percent."" https://t.co/kCtBLPbSg8",1
"""You can't create a self-sustaining civilization on Mars if the ticket price is $10 billion per person."" https://t.co/kCtBLPbSg8",1
"""That's what we want."" https://t.co/kCtBLPbSg8 https://t.co/aq7KK0J7O2",1
Live now https://t.co/sLs2pIUtaG,1
Presentation beginning shortly at https://t.co/SwNQJ9Ht4D https://t.co/nc5pXQ3xq8,1
Presenting the SpaceX Interplanetary Transport System. Learn more at 1:30pm CT https://t.co/SwNQJ9Ht4D https://t.co/xkGpQIBCMG,1
Tomorrow: Elon Musk will speak at @IAC2016 on making life multiplanetary. Tune in at 1:30 CT on… https://t.co/3cdz16sBzG,1
"If you have audio, photos or videos of our anomaly last week, please send to report@spacex.com. Material may be useful for investigation",0
Latest update on yesterday's anomaly https://t.co/15yMaiobpX,0
"Thanks to @45thSpaceWing, @NASAKennedy and others for helping us respond to today's anomaly. Very grateful for your efforts.",1
Update on this morning's anomaly https://t.co/1ogCMPCY44,0
Statement on this morning's anomaly https://t.co/3Xm2bRMS7T,0
First launch of flight-proven first stage will use CRS-8 booster that delivered Dragon to @Space_Station in April https://t.co/UsqWeNBEK2,1
"Recovery teams en route to Dragon, pic taken from about 10 miles out https://t.co/B4ofhGZptD",1
"Good splashdown of Dragon confirmed, carrying thousands of pounds of @NASA science and research cargo back from the @Space_Station.",1
Dragon's 3 main parachutes have been deployed. Splashdown in about 5 minutes.,1
Dragon's drogue chutes have been deployed nominally.,1
Dragon's de-orbit burn is complete and trunk has been jettisoned. Pacific Ocean splashdown with critical @NASA science in apprx 35 minutes.,1
"The 3 departure burns to move Dragon away from @Space_Station are complete, will enter Earth's atmosphere in ~5 hours. Splashdown 8:47am PDT",1
Dragon has been released from the @Space_Station! Three departure burns are now underway: https://t.co/XbCVPGwLuR https://t.co/hfw5oeazHf,1
"After a month stay @Space_Station, Dragon returns tomorrow w/ 3,000 pounds of @NASA science https://t.co/h2C3T0Twlv https://t.co/cIaoJeXZFr",1
Pale Red Dot. The discovery of Proxima b is an exciting moment in the quest to make life multiplanetary https://t.co/utt9xKpzFW,1
Docking port extracted from Dragon's trunk and ready for @NASA astronauts to install to @Space_Station tomorrow https://t.co/nep5Ira6Cc,1
Dragon scheduled to return to Earth on Aug 26. Docking port it brought to @space_station will be installed Friday https://t.co/fmt1Yon3T0,1
"JCSAT-16 comms sat deployed into planned Geostationary Transfer Orbit with 36,000 km apogee (high point in orbit) https://t.co/zScDgaOSzY",1
"Coast phase complete and final burn underway to place JCSAT-16 into a Geostationary Transfer Orbit.
Webcast live ? https://t.co/tdni53IviI",1
Webcast back in about 15 minutes for final burn to place JCSAT-16 into a Geostationary Transfer Orbit https://t.co/tdni53IviI,1
First stage landing confirmed on the droneship. Second stage &amp; JCSAT-16 continuing to orbit https://t.co/tdni5406Hi https://t.co/h6llIXSVu7,1
Falcon 9 first stage has landed on Of Course I Still Love You,1
First stage is transonic,1
Falcon 9 first stage entry burn underway. Second stage and JCSAT-16 continuing nominally into orbit https://t.co/fnFAAtuvpm,1
Fairing separation confirmed. Watch live https://t.co/tdni53IviI,1
First stage main engine cutoff and stage separation have occurred. Second stage engine burn underway https://t.co/OpAehX5ox2,1
Liftoff! https://t.co/tdni53IviI,1
"Dragon has been given a ""go"" to move towards capture position https://t.co/FGPe7FIiDq",1
Touchdown https://t.co/3lc9DbYmcS,1
"Dragon on its way to @Space_Station, Falcon on its way home https://t.co/EpfUKBmoWi",1
Dragon solar arrays have deployed,1
Dragon confirmed in good orbit https://t.co/tdni53IviI https://t.co/jLCTcgBMtB,1
First stage landing confirmed at LZ-1. Second stage and Dragon continuing to orbit https://t.co/tdni53IviI https://t.co/6u7BCidoth,1
Falcon 9 first stage has landed at LZ-1,1
Falcon 9 first stage entry burn underway. Second stage and Dragon continuing nominally,1
First stage boostback burn underway,1
First stage main engine cutoff and stage separation have occurred. Second stage engine burn underway,1
Liftoff! https://t.co/tdni53IviI https://t.co/xZunmXW61q,1
Stenciling the 7th and final tortoise onto this hardy and stalwart New Shepard capsule. #GradatimFerociter https://t.co/ciB6rbNPqP,1
"Steering through violent MaxQ escape forces is a residual capability, not explicitly engineered. Just a very robust booster. #InFlightEscape",
Here’s escape vid in slow mo. #InFlightEscape https://t.co/MrKRiHZu8Y,
"Reflecting on an incredible day. Toasting all 800 of the passionate, brilliant folks at Blue Origin.… https://t.co/q2Bhekkcft",
That is one hell of a booster. #InFlightEscape #GradatimFerociter https://t.co/7ZRRe2HnMO,
And here are the details of the escape test https://t.co/LDnJMjhtQ3 #GradatimFerociter,
And here’s the #NewGlenn descent configuration. #GradatimFerociter https://t.co/nYSgZ4TzKA,
Exciting results from 3 weeks of wind tunnel testing of #NewGlenn at transonic &amp; supersonic speeds. Validated our C… https://t.co/OkHQ0G4di0,
.Thanks @TheRealBuzz &amp; @HeinleinPrize – what a fun night! https://t.co/l73vz2W2Oc,
Blue Origin’s next step…meet New Glenn #NewGlenn #GradatimFerociter https://t.co/p4gICKZRfi,
.@matteorenzi excited to announce Amazon artificial intelligence &amp; machine learning center in Turin https://t.co/jxa7VxWZHF,
Grazie @matteorenzi for wonderful conversation at Palazzo Vecchio. https://t.co/JGewdL8LAc,
Cool new project from @smithsonian &amp; @autodesk lets you virtually explore Apollo 11 Command Module. https://t.co/9fjWKWsguH,
"Bucket list. Cast, crew and Justin Lin @trailingjohnson were amazing. #StarTrekBeyond https://t.co/VJ95D8pQeK",
.@trailingjohnson Amazing experience. Thank you! https://t.co/Aj3J88eqrw,
Careful engineering plus of course … the lucky boots. Successful mission. #RocketsReused #GradatimFerociter https://t.co/ON5lhfGPSK,
Loading propellants. Looking good for this morning’s launch. #GradatimFerociter,
Thanks @VirginGalactic! So agree space needs all of us. #GradatimFerociter https://t.co/nlJsbWSv20,
And of course – development test flight – anything can happen. #GradatimFerociter,
Look for one-chute-out test starting about 7 minutes into flight + continue pushing envelope on booster. #GradatimFerociter,
Watching a rocket launch (and rocket landing!) might add a little extra fun w/ kids on Father's Day. #GradatimFerociter,
New Shepard launch set for Sunday at 10:15 am ET. Live webcast starts at 9:45 am ET at https://t.co/WTXblOKlvk #GradatimFerociter,
Replacing leaking O-ring in capsule’s nitrogen gas pressurization system. Rescheduling flight to Sunday. #GradatimFerociter,0
Flight to test one-chute-out failure scenario &amp; push envelope on booster maneuvers #GradatimFerociter https://t.co/oWIGMqMCoa,
Trying for 4th flight of same hardware this Friday. Live webcast at https://t.co/XlqW03DcEB #GradatimFerociter https://t.co/AKyv3newmN,
Landing sequence caught by our GH2 vent cam. Watch for gear deployment in the shadow. #GradatimFerociter https://t.co/QHvSdjJ2Se,
Thank you @FLOTUS for all you do with @JoiningForces. We're excited to add 25K more @Amazon Warriors to our ranks. https://t.co/ZSZ2DInOhZ,
Ridiculously cute. #Alexa https://t.co/OG7g2cgIXS,1
Champagne cracked in the newsroom today. Congratulations to all @washingtonpost on Pulitzers!,1
You counseled so many. Your wisdom and warmth will be remembered. Rest in peace Bill Campbell.,0
Thank you and congrats to my friends and colleagues Jeff and Andy – very well deserved! https://t.co/hGLGMDluKu,
"Heads up readers – all-new, top of the line Kindle almost ready. 8th generation. Details next week.",
Video from yesterday's flight now live: https://t.co/vBvPYpGFrQ Great view of dramatic booster deceleration.,
We’ll share mission video including aerial as soon as we’re able to get it processed.#GradatimFerociter @BlueOrigin,
My Gradatim Ferociter boots. Gift from a friend &amp; they brought luck today. #LaunchLandRepeat @BlueOrigin https://t.co/3szqLGMI7s,
CC touchdown confirmed. #LaunchLandRepeat @BlueOrigin,
"Flawless BE-3 restart and perfect booster landing. CC chutes
deployed. @BlueOrigin",
Liftoff and New Shepard is climbing to apogee. @BlueOrigin,
Crew Capsule is locked &amp; ready for flt. Tortoises mark successful CC missions. #LaunchLandRepeat @BlueOrigin https://t.co/akPaP9EFIu,
"Readying Crew Capsule for flt. Clear skies in TX.
Tracking for morning launch. #LaunchLandRepeat @BlueOrigin https://t.co/X22DBlf9ZE",
Two university microgravity experiments on tomorrow’s @blueorigin flight. Short vids: https://t.co/lHW6lsqCAY  https://t.co/VAYuFJRk7H,
We’ll have drone cameras in the air and hopefully will get good aerial footage to share. #LaunchLandRepeat @BlueOrigin,
"Also, a new more efficient RCS algorithm on the Crew Capsule. Big performance win if it works. #LaunchLandRepeat @BlueOrigin",
"Pushing the envelope. Restarting BE-3 fast @ high thrust, just 3600 ft from ground. Impact in 6 sec if engine doesn’t restart &amp; ramp fast.",
Working to fly again tomorrow. Same vehicle. Third time. #LaunchLandRepeat @BlueOrigin https://t.co/e1ZfYAibK2,
Got a little help from Amazon Robotics on stage today at our All-Hands in Seattle   https://t.co/8Ies2thPmr,
"OK, this is the most hilarious Echo video yet: https://t.co/H6QJ28UYec",
James Hamilton’s retrospective on 10 years of AWS is excellent: https://t.co/NL8GFMjvdz Kudos and congrats to the whole team!,
"Marty's piece today is so inspiring. Thank you, @PostBaron! #BadAssReporting https://t.co/pVkjdXm97y",
"Hope, somewhere in space-time, Einstein is seeing this. https://t.co/6EMJgffrIs #LIGO",
"Mr. Prime Minister @matteorenzi, we are so proud of Diego. Great for Italy. Kudos to all! https://t.co/Mk0jcTZ2gT",
"Nice. Blue Origin team just nominated for time-honored aviation award, the Collier Trophy! All the nominees here: https://t.co/PvGu1PI9TW",
Can a used rocket fly? Video + a few technical details at https://t.co/8JUKBLg8fi  https://t.co/JWpi3yGDWq,
Impressive launch and @SpaceX will soon make Falcon 9 landings routine – so good for space! Kudos SpaceX!,1
"Believe me, if you’re ever tossed in a foreign prison, you want Fred Ryan and Marty Baron on the team working to get you out. #JasonIsFree",
"Wheels up and out of Iranian airspace! Jason, Yegi, and Mary aboard. Doug Jehl and Ali Rezaian worked tirelessly on this. #JasonIsFree",
Is Yegi on the plane? #JasonIsFree,
"Grail: Risky, but if works, big breakthrough in broad spectrum EARLY cancer detection. Brilliant scientists. https://t.co/CmGslKGLOV",1
Congrats @SpaceX on landing Falcon's suborbital booster stage.  Welcome to the club!,
Finally trashed by @realDonaldTrump. Will still reserve him a seat on the Blue Origin rocket. #sendDonaldtospace https://t.co/9OypFoxZk3,0
What 400 very happy rocket scientists look like. https://t.co/FwrZHuB8RD,1
Everything looking good this morning for #InFlightEscape. Live webcast at 10:45 am ET #GradatimFerociter,1
Goal to test at most stressing flight condition. Likely to lose booster after escape. Details at: https://t.co/jfcbMhLbN5 #GradatimFerociter,0
Congratulations @JeffBezos  on @HeinleinPrize award! #GradatimFerociter https://t.co/wUJrVejDI6,1
"Congrats to @PurdueAeroAstro, @NanoRacks, and @space_tango for winning @nasafo research flights on New Shepard! https://t.co/H8a20NAV27",1
Congrats to @JeffBezos on @HeinleinPrize #GradatimFerociter https://t.co/DwGKxyReKp,1
New Shepard back in the barn after today’s flight. #RocketsReused #GradatimFerociter https://t.co/FCBsnsoywL,1
Smooth landing with one chute out #GradatimFerociter https://t.co/tyipXecjV2,1
Fourth flight. Same hardware. Reusable rockets love to fly. #RocketsReused #GradatimFerociter https://t.co/CaRQTI3dOI,1
Our next university science payloads are preparing for flight on New Shepard: https://t.co/06yYPjzEkL #GradatimFerociter,1
Delighted to formally join the @NASAfo Flight Opportunities Program. Learn about our payload flights: https://t.co/GXGzdbYwHY #NSRC2016,1
Honored to have New Shepard recognized as one of Seattle's great innovations! Join us in voting at @geekwire: https://t.co/oxLIXdAoe1,1
Enjoy the ride :) https://t.co/QIXs4YUofS,1
"BE-4 forgings, assemble!  Full engine testing later this year to support @ulalaunch Vulcan 1st flight in 2019. https://t.co/BwRX3tmL2X",1
"Grateful for the lessons taught by the men and women of spaceflight who made the ultimate sacrifice. 
https://t.co/rQ5QhzWBm7",0
"Yes, it can! https://t.co/SjFUXLJOnS",1
"Happy is an understatement @JeffBezos :) 
https://t.co/k3ZNQQTV0A",1
"@TainaRolling750 SpaceX only trying to recover their 1st stage booster, which IS suborbital.",1
"Welcome back, New Shepard! https://t.co/JwV2IV5uvh",1
"Congrats on the big 100 @ulalaunch - here's to many more! #ULA100 #VulcanRocket #BE4
https://t.co/LLzjiwfGR5",1
"Thanks for visiting us in West Texas @HurdOnTheHill  
https://t.co/MTH7b4RSlN",1
We’re coming to the Space Coast! #321BlueOrigin https://t.co/Wtqlob6fpZ,1
We’re hanging out in Florida today!  Watch live at 9:45 a.m. ET on @NASA TV #321BlueOrigin  http://t.co/CuEIjzs4Oo,1
We’re hanging out in Florida today!  Watch live at 9:45 a.m. ET on NASA TV #321BlueOrigin http://t.co/CuEIjzs4Oo,1
"Proud to be part of the #VulcanRocket team @ulalaunch!  http://t.co/jtPdUkm44h
https://t.co/KNY7H10B31",1
@orbitalpodcast We tend to agree ;),1
Congrats to our own Jimmy Shane for an awesome showing at #Seafair2015! http://t.co/soNQrwIwpd,1
Does your microgravity science experiment need a lift?  We’re open for payload reservations! http://t.co/5JhNYfepyt,1
Congrats @ulalaunch on your 97th successful mission!,1
"Pluto, Earth has arrived! Thanks for the great view @NASANewHorizons! 
https://t.co/JBB48umFuB",1
"@The_Jay_Bo @LEGO_Group We flew the pieces (more than 3,000!) and then constructed it.  It's hanging out at our Kent, WA. HQ.",1
Employees &amp; families build @LEGO_Group Super Star Destroyer.  Did we mention it flew on New Shepard's flt first? :) http://t.co/GTz5Vzr7x9,1
Grateful to have the freedom to adventure &amp; explore!  Happy 4th! http://t.co/iGtidQdoco,1
@rdbeni @ulalaunch This is our BE-3 - thanks for asking!,1
"All our engines are American-made &amp; designed, developed &amp; manufactured at our HQ in Washington state. #WASpace http://t.co/53SjHtQS8q",1
"Our BE-3 is designed to withstand temps of liquid hydrogen at -423°F and combustion temperatures nearing 6,000°F! http://t.co/9hRaSFnCyi",1
@hillme89 Us too! We'll be ready to support first flight of @ulalaunch Vulcan rocket in 2019!,1
32 years ago Sally Ride became the 1st American woman in space.  We &lt;3 trailblazers! #OTD http://t.co/QrkrPeDQcg,1
@OrbitalATK Good morning and thanks for the follow!,1
@donsalamon We are always looking!  View current opportunities here:  http://t.co/Z3desyV8sd.   There are some new grad positions now!,1
"@EI_Ekaterina Glad you liked it.  And, yes, @DrPhiltill thanks for sharing!",1
@The_Jay_Bo Now you're going to need to subtract some numbers :),0
@The_Jay_Bo You'll have to add more numbers to that 45 for your next guess.,0
"@jayestes Solid guess, but still a bit low!",0
@goatnaut Hmmm...a little high.,0
@NovaSilisko More than that!,1
"We used 3D printed parts on New Shepard's first flight, but can you guess how many?",1
"This is where a lifelong dream comes to fruition. #MondayMotivation
http://t.co/zO7rZqpzXb",1
@geoff_n @museumofflight Thanks for the assist!  Great to have such an awesome museum in our own backyard!,1
Interested in a view?  Start your journey @ http://t.co/HpPCgxycZx http://t.co/I5eDDNrcU0,1
@The_Jay_Bo All your questions are answered here:  http://t.co/fFxBwIgpGE - Have a good day!,1
"@The_Jay_Bo The new one looks pretty much like the old one :)  When we share a picture of it, we'll be sure that you see it!",1
@The_Jay_Bo This is the original!,1
Welcome home!  https://t.co/7ojCkV2Luk,1
We enjoyed participating in the @csulbswe outreach event today! #womenintech https://t.co/XBqo3AJ4IE,
"Want to learn abt our newly promoted President, Mike Moses? See him in this vid of recent #SpaceShipTwo test flight https://t.co/LdqlldQgOR",
We are pleased to announce that Mike Moses has been promoted to President! https://t.co/WMbKhbjbWp https://t.co/D86MQouPko,
It's a great line up of innovative speakers. Fun to kick things off with Overview Effect and broad efforts towards… https://t.co/rSqKGizr76,
"We're honored to be a part of this! Our CEO, @gtwhitesides, is on stage now for an opening keynote. https://t.co/N6WiW4rDlz",
"@JoseCGlezGcia check out @NASAfo. It's not a contest, but it is a good way to get your payload to space.",
#SpaceShipTwo isn't just for astronauts; it's also for research experiments! We were thrilled to host MFEST team fr… https://t.co/fqsoPz6PkW,
We're honored to be among the inaugural class of hosts for the @owensfellowship program. Learn more and apply: https://t.co/C58C6mB4Gc,
Congrats to @JeffBezos and team @blueorigin on today's test. Kudos from our whole team.,
Boss @richardbranson talks reaching for the stars with @SurfaceMag! https://t.co/l5cKdwVtNn,
"Huge congratulations to Charlie Fenske, aged 16, on winning the Virgin Galactic Pioneer Award @googlescifair https://t.co/pkn4fBVqpL",
Tune in live from @googlescifair! https://t.co/dOcokGGcb3 https://t.co/zQjLHzJ1oU,
It's a big week for #science! We are excited to be back with this year's @googlescifair finalists &amp; judges… https://t.co/VSl9rNthgE,
Welcome! We are looking forward to working with you. https://t.co/KUtoNipFuY,
"VIDEO: a recap of last week's #SpaceShipTwo test flight, narrated by NASA vet Mike Moses. https://t.co/LdqlldQgOR https://t.co/GYaz5DwIV3",
"@wikkit Nicely, we've got several good options depending on customer needs. Not publicly disclosing just yet--but stay tuned.",
"In addition to @SkySpaceGlobal's 4 missions, we also revealed #LauncherOne directly supports low-inclination flights https://t.co/5PgGoC4R3x",
We're pleased to announce @SkySpaceGlobal signed a Launch Services Agreement for 4 dedicated flights on #LauncherOne https://t.co/5PgGoC4R3x,
"(And, by the way, go @OSIRISREx  Our flight today ended just in time for our staff to watch your launch!) #OSIRISREx",
"Today's an emotional day for us all. So grateful to our families, customers, &amp; friends for sticking with us. Couldn't open space without you",
We’re excited to be back in flight testing. Need to analyze today's data before setting schedule. Read more: https://t.co/VEma6KWDPi,
VSS Unity and WhiteKnightTwo have landed! The vehicles are back safe and sound after a successful first test flight. #SpaceShipTwo,
"Today’s flight is wrapping up, VSS Unity heading home. Pilots plan to fly an approach before landing. #SpaceShipTwo https://t.co/duzgmeKTbc",
"Today’s flight test is going well. It’ll be longer than typical mission, in part to test what happens when Unity gets very cold.",
"Today, we plan for VSS Unity to remain mated to WhiteKnightTwo for the full flight.  #SpaceShipTwo",
One advantage of air-launch is that the carrier plane acts like a flying wind tunnel. Highest fidelity aerodynamic data!,
"Today, we plan for VSS Unity to remain mated to WhiteKnightTwo for the full flight.",
"Read more about VSS Unity’s flight test program, which started just moments ago: https://t.co/RbjeMEcazJ  #SpaceShipTwo",
"PHOTO: The #SpaceShipTwo VSS Unity takes to the air for the first time, mated to its carrier ship. https://t.co/S2IHMUGPnL",
"Wheels up! WhiteKnightTwo &amp; #SpaceShipTwo are now in the air. This is 1st ever flight of a vehicle built by our sister co, @TheSpaceshipCo",
"Like every flight of #SpaceShipTwo, this mission is crewed. Two of our pilots in VSS Unity, two more in WhiteKnightTwo",
Today’s flight is planned to be a captive carry flight—where #SpaceShipTwo remains mated to our mothership.,
"Today feels like a good day to fly, doesn’t it? #SpaceShipTwo &amp; WhiteKnightTwo have done some taxiing and have just been cleared for flight.",
Good morning from Mojave! VSS Unity and WhiteKnightTwo are outside again for a bit of testing. #SpaceShipTwo https://t.co/SALO4YmXaF,
@Temecula_Tom We updated our blog with some comments about what's next: https://t.co/RbjeMEcazJ,
"We wrote an update about Unity's flight testing program, which starts soon. #SpaceShipTwo https://t.co/RbjeMEcazJ https://t.co/7DhFxUbUhr",
"#SpaceShipTwo is mated to WhiteKnightTwo and headed outside now. Today, we’re conducting some final mated communications &amp; navigation checks",
Our future astronauts love to learn about the cutting edge of human ingenuity. Great to take many to CERN recently! https://t.co/5lfARJkxFn,
@NASAPrize @WPI good luck to the teams!,1
Diversity in aerospace is valuable. Come learn w/ us @Spaceport_NM  https://t.co/G0IV2HxiCM https://t.co/te6cbhWNpl #WomensEqualityDay.,1
".@richardbranson get well soon, boss! Sending you good wishes from Mojave, Long Beach, and @Spaceport_NM",1
Thanks for stopping by and visiting with our staff! We all enjoyed meeting you (and showing off #SpaceShipTwo).  https://t.co/VSp8AWDhmX,1
"This is a big deal and a very cool possibility. We're inspired. Remember, Proxima means 'nearby' #ProximaB  https://t.co/F2xrhoigEv",1
The aerospace workforce is not very diverse. We're working to change that &amp; learning from others. Come learn with us https://t.co/G0IV2HxiCM,0
@VirginTrains @LaupMars shhh.. you are giving away our secrets! ;),1
Kudos to all of the finalists! We look forward to meeting you @google  HQ  next month. Keep up the good work! https://t.co/uULv2DQIVS,1
"Congratulations to Dr. Ferl, one of the researchers designing an experiment to fly on #SpaceShipTwo https://t.co/yZwCGPn6Gb",1
Great to speak to @NASAAcademy students @NASAglenn @NASAArmstrong @NASAAmes and @NASA_Langley today! Space education is a key investment.,1
"Today, we announced our FAA license &amp; conducted #SpaceShipTwo taxi tests (w/ help of friends @LandRover). Good day! https://t.co/pOtiE5RAv5",1
We're excited to report the FAA has awarded our Operator's License for #SpaceShipTwo. Key step on the road to space! https://t.co/hb9kVKYy8k,1
August is off to a good start! More on recent progress &amp; ongoing testing coming soon. Here's a photo from today: https://t.co/x5RdG5VvAr,1
Practice makes perfect! VMS Eve is heading to @EdwardsAFB today in preparation for next stage of test flight #WK2 https://t.co/lv05jVV7Nb,1
Congrats to our automotive partner @LandRover on a great @americascup win! Pioneers of not just land but also sea! https://t.co/oJz0CpVg89,1
We're proud to support the @googlescifair. Kudos to the regional finalists and the Community Impact Winners!  https://t.co/enIBt3mSYW,1
Happy birthday to the one and only @richardbranson! We're proud to be a part of the #VirginFamily https://t.co/3Q0qDchjRP,1
"Just a few more days to apply for  a $7,500 scholarship for women studying STEM. https://t.co/2RmfVc4wjy Apply here: https://t.co/CStzZCbcFm",1
"Last night, 3 humans launched to outer space. 2 were 1st-time astros, meaning 555 humans who have EVER been to space https://t.co/VbbxbfhL0P",1
Congrats #SoyuzMS01 crew! First time astros Takuya Onishi &amp; @Astro_Kate7 raise the total number of humans who have EVER been to space to 555,1
Happy #PrideMonth from our CEO and our rocket scientists (and our brightly colored trousers). #RocketPride https://t.co/EQQLKZUkFu,1
A recent #LauncherOne NewtonThree rocket engine test. Every test explores different conditions &amp; teaches us more! https://t.co/8tfgtidTU3,1
"Happy to sign this Letter of Intent w/ @SkySpaceGlobal, who aim to purchase flights on LauncherOne. Exciting project https://t.co/N7dls6vQrt",1
"Our LauncherOne rocket factory's filling up w/ equipment &amp; vehicle hardware. Here's a view of 150,000sqft shop floor https://t.co/iPxAgXk4vk",1
Good luck to @JeffBezos &amp; @blueorigin for their test flight planned for this Sunday. We'll be cheering for you. Space needs all of us!,1
"Testing of VSS Unity continues! Preparing each test takes a lot of work, but the data are invaluable.  #SpaceShipTwo https://t.co/Mz7nHTprK9",1
"We're proud to work with @ChallengerCtr of Las Cruces, NM, supporting their Academic Summer Camps. Important work! https://t.co/LLby76micB",1
Nice video from @AirForceGrads about our pilot corps--incl several US AFA graduates. We're proud of our colleagues! https://t.co/XjOfv654Vq,1
"Testing of VSS Unity continues! In this photo from late last week, we're testing strength of landing gear components https://t.co/VZbrN4IB3v",1
